City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Aloleng,PH,16.1307,119.7824,85.14,67,99,5.41,overcast clouds
79,Saint George,US,37.1041,-113.5841,81.19,20,0,0.0,clear sky
80,Sao Filipe,CV,14.8961,-24.4956,78.75,80,73,2.46,broken clouds
81,Srednekolymsk,RU,67.45,153.6833,17.73,84,100,4.99,overcast clouds
82,Broome,US,42.2506,-75.833,59.85,76,0,10.36,clear sky
83,Shenjiamen,CN,29.9576,122.298,69.1,72,79,17.0,broken clouds
84,Kalga,RU,50.9251,118.898,51.53,35,18,10.38,few clouds
85,Gao,ML,16.6362,1.637,85.1,16,2,9.31,clear sky
86,Norman Wells,CA,65.282,-126.8329,26.64,86,75,4.61,broken clouds
87,Adrar,MR,20.5022,-10.0711,81.03,27,100,14.07,overcast clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,55.87,68,0,3.44,clear sky
89,Dukat,RU,62.55,155.55,17.73,75,100,1.79,overcast clouds
90,Ilulissat,GL,69.2167,-51.1,28.42,64,100,5.75,overcast clouds
91,Peniche,PT,39.3558,-9.3811,63.1,93,79,13.0,broken clouds
92,Lagoa,PT,39.05,-27.9833,70.18,81,51,10.42,broken clouds
93,Lazaro Cardenas,MX,17.9583,-102.2,81.09,83,100,2.04,overcast clouds
94,East London,ZA,-33.0153,27.9116,68.41,89,100,15.28,overcast clouds
95,Bredasdorp,ZA,-34.5322,20.0403,63.0,91,100,1.52,overcast clouds
96,Moron,AR,-34.6534,-58.6198,73.15,28,58,7.94,broken clouds
97,Tasiilaq,GL,65.6145,-37.6368,30.36,94,99,3.8,overcast clouds
98,Vaini,TO,-21.2,-175.2,78.96,83,20,12.66,few clouds
99,Chokurdakh,RU,70.6333,147.9167,10.02,85,43,4.54,scattered clouds
100,Ponta Delgada,PT,37.7333,-25.6667,70.52,73,75,4.61,broken clouds
101,Pangnirtung,CA,66.1451,-65.7125,16.03,69,4,5.28,clear sky
102,Ingham,US,42.6,-84.3833,52.88,92,75,6.91,broken clouds
103,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,87,16,4.07,few clouds
104,Acari,PE,-15.4311,-74.6158,63.03,69,41,4.09,scattered clouds
105,Torbay,CA,47.6666,-52.7314,50.27,88,0,9.22,clear sky
106,Rudbar,AF,30.15,62.6,67.53,21,0,3.62,clear sky
107,Sire,NG,12.9299,5.2043,79.57,35,66,6.69,broken clouds
108,Tromso,NO,69.6496,18.957,41.02,81,100,16.11,light rain
109,Zurrieq,MT,35.8311,14.4742,71.96,88,20,6.91,few clouds
110,Nikolskoye,RU,59.7035,30.7861,39.09,88,51,4.16,broken clouds
111,Arica,CL,-18.475,-70.3042,61.03,67,100,6.91,overcast clouds
112,Kununurra,AU,-15.7667,128.7333,98.58,28,8,8.05,clear sky
113,Hobart,AU,-42.8794,147.3294,63.05,85,100,4.0,light rain
114,Te Anau,NZ,-45.4167,167.7167,58.21,41,2,2.08,clear sky
115,Thompson,CA,55.7435,-97.8558,33.96,93,100,18.41,overcast clouds
116,Itarema,BR,-2.9248,-39.9167,78.64,83,13,17.38,few clouds
117,Orje,NO,59.4802,11.6602,52.36,89,100,9.6,overcast clouds
118,Kieta,PG,-6.2167,155.6333,84.07,68,100,5.06,light rain
119,Nisia Floresta,BR,-6.0911,-35.2086,76.01,88,14,9.08,few clouds
120,Benguela,AO,-12.5763,13.4055,73.24,83,76,4.56,broken clouds
121,Airai,TL,-8.9266,125.4092,75.4,56,17,2.26,few clouds
122,Tres Passos,BR,-27.4556,-53.9319,55.13,90,42,1.99,scattered clouds
123,Pandan,PH,14.0453,124.1694,85.96,69,100,7.2,overcast clouds
124,Thunder Bay,CA,48.4001,-89.3168,42.78,87,40,6.91,scattered clouds
125,Provideniya,RU,64.3833,-173.3,33.91,69,0,4.47,clear sky
126,Port Elizabeth,ZA,-33.918,25.5701,66.49,97,100,4.61,overcast clouds
127,Temba,ZA,-25.3803,28.2631,75.11,33,65,7.4,broken clouds
128,Gura Humorului,RO,47.55,25.9,51.75,99,100,2.93,overcast clouds
129,Bokoro,TD,12.3807,17.0568,80.02,69,7,6.67,clear sky
130,Chandbali,IN,20.7833,86.7667,83.19,73,53,4.29,broken clouds
131,Coihaique,CL,-45.5752,-72.0662,36.21,64,75,2.3,broken clouds
132,Nishihara,JP,26.1842,127.7558,83.48,72,100,18.41,overcast clouds
133,Ahipara,NZ,-35.1667,173.1667,63.27,61,79,2.1,broken clouds
134,Myra,IT,45.4358,12.1348,58.05,82,0,6.91,clear sky
135,Bara,NG,10.3744,10.7288,77.36,75,94,3.94,light rain
136,Andenes,NO,69.3143,16.1194,44.58,87,100,18.41,light rain
137,Ngaoundere,CM,7.3167,13.5833,63.99,95,98,3.22,light rain
138,San Cristobal,VE,7.7669,-72.225,69.98,97,99,2.62,overcast clouds
139,Ostrov,RU,57.3439,28.3537,26.33,91,46,3.91,scattered clouds
140,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.63,27,17,3.09,few clouds
141,Marawi,PH,7.9986,124.2928,84.15,54,100,3.29,overcast clouds
142,Dunedin,NZ,-45.8742,170.5036,49.8,76,16,1.99,few clouds
143,Pangkalanbuun,ID,-2.6833,111.6167,86.52,66,100,2.59,overcast clouds
144,Lloydminster,CA,53.2835,-110.0016,39.42,48,0,10.36,clear sky
145,Ust-Kuyga,RU,70.0167,135.6,7.45,91,74,6.87,broken clouds
146,Tilichiki,RU,60.4667,166.1,33.26,52,100,11.07,overcast clouds
147,Urumqi,CN,43.801,87.6005,47.35,37,0,2.24,clear sky
148,Toledo,ES,39.8333,-4.0,62.31,61,11,1.63,few clouds
149,Gazanjyk,TM,39.2446,55.5154,61.39,47,22,6.82,few clouds
150,Dudinka,RU,69.4058,86.1778,31.62,82,100,7.34,overcast clouds
151,Zistersdorf,AT,48.5333,16.75,53.87,74,45,2.57,scattered clouds
152,Pisco,PE,-13.7,-76.2167,60.03,82,0,14.97,clear sky
153,Havoysund,NO,70.9963,24.6622,43.03,73,83,23.06,broken clouds
154,Lerwick,GB,60.1545,-1.1494,50.0,65,88,11.36,overcast clouds
155,Izumo,JP,35.3667,132.7667,71.55,56,20,17.27,few clouds
156,Sakakah,SA,29.9697,40.2064,69.37,31,21,3.0,few clouds
157,Rafai,CF,4.95,23.9167,67.64,95,64,2.59,broken clouds
158,Hithadhoo,MV,-0.6,73.0833,81.16,72,100,14.63,overcast clouds
159,Cherskiy,RU,68.75,161.3,15.04,85,100,5.7,overcast clouds
160,Gimli,CA,50.6336,-96.9907,41.02,60,100,10.36,overcast clouds
161,Manta,EC,-0.95,-80.7333,69.58,83,0,11.5,clear sky
162,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,40,5.75,scattered clouds
163,Alofi,NU,-19.0595,-169.9187,80.49,83,3,9.22,clear sky
164,Dengfeng,CN,34.4553,113.0281,64.15,40,95,2.98,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,42.6,62,91,5.12,overcast clouds
166,Inuvik,CA,68.3499,-133.7218,25.66,80,75,5.75,broken clouds
167,Kodiak,US,57.79,-152.4072,42.31,49,0,17.27,clear sky
168,Port Hardy,CA,50.6996,-127.4199,50.18,93,20,3.44,few clouds
169,Guliston,UZ,40.4897,68.7842,62.35,18,0,2.08,clear sky
170,Vila,PT,42.0304,-8.1588,49.08,92,98,1.41,overcast clouds
171,Imperial Beach,US,32.5839,-117.1131,71.44,85,75,10.36,broken clouds
