City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Marrakesh,31.6315,-8.0083,73.47,38,0,2.3,MA,2022-10-03 01:14:45
225,Kurilsk,45.2333,147.8833,56.8,66,7,12.62,RU,2022-10-03 01:19:24
226,Asau,46.4333,26.4,49.28,75,98,7.0,RO,2022-10-03 01:19:24
227,Cortez,37.3489,-108.5859,61.56,68,0,8.05,US,2022-10-03 01:19:20
228,Lichuan,30.3,108.85,71.26,77,24,4.85,CN,2022-10-03 01:19:25
229,Riberalta,-10.9833,-66.1,80.83,59,84,2.24,BO,2022-10-03 01:20:25
230,Morgan City,29.6994,-91.2068,70.0,53,87,5.21,US,2022-10-03 01:20:25
231,Broome,42.2506,-75.833,51.39,82,0,6.91,US,2022-10-03 01:20:26
232,Aksarka,66.5606,67.7975,35.35,87,100,12.59,RU,2022-10-03 01:20:26
233,San Antonio,29.4241,-98.4936,79.43,39,0,4.61,US,2022-10-03 01:20:26
234,Erenhot,43.6475,111.9767,36.01,42,46,17.05,CN,2022-10-03 01:20:27
235,San Javier,37.8063,-0.8374,69.51,74,0,6.91,ES,2022-10-03 01:20:27
236,Kaili,-3.4626,120.2147,74.71,78,99,2.33,ID,2022-10-03 01:20:28
237,Kenai,60.5544,-151.2583,52.03,91,100,4.61,US,2022-10-03 01:20:28
238,Faya,18.3851,42.4509,59.11,64,44,1.32,SA,2022-10-03 01:20:29
239,Vysokogornyy,50.1167,139.15,49.86,99,100,3.4,RU,2022-10-03 01:20:30
240,Flin Flon,54.7682,-101.865,59.25,65,12,7.29,CA,2022-10-03 01:15:50
241,Krasnoselkup,65.7,82.4667,30.45,74,100,13.4,RU,2022-10-03 01:20:30
242,Bonavista,48.6499,-53.1147,45.72,64,56,14.29,CA,2022-10-03 01:20:31
243,Ponta Do Sol,32.6667,-17.1,69.71,84,9,3.83,PT,2022-10-03 01:20:31
244,Sao Filipe,14.8961,-24.4956,77.7,74,47,9.4,CV,2022-10-03 01:20:31
245,Arman,59.7,150.1667,39.02,48,100,11.45,RU,2022-10-03 01:20:32
246,Bintulu,3.1667,113.0333,77.41,94,20,5.75,MY,2022-10-03 01:20:32
247,Bud,39.447,-86.1758,61.68,63,0,8.79,US,2022-10-03 01:20:32
248,Kahului,20.8947,-156.47,84.22,81,75,21.85,US,2022-10-03 01:20:33
249,Mizdah,31.4451,12.9801,63.68,71,0,3.49,LY,2022-10-03 01:20:33
250,Fort-Shevchenko,44.5086,50.263,61.27,33,18,31.74,KZ,2022-10-03 01:20:33
251,Cabedelo,-6.9811,-34.8339,75.87,77,9,11.63,BR,2022-10-03 01:18:01
252,Portland,45.5234,-122.6762,86.79,45,0,6.91,US,2022-10-03 01:20:28
253,Mandalgovi,45.7625,106.2708,22.64,67,8,7.94,MN,2022-10-03 01:20:34
